date,spread_med,spread_mean,depth_med,rv_med,asset,spread_ratio,depth_ratio
2025-10-03,0.08869251675974815,0.10013414365249436,1871689.9844847678,1.8886649490997323,BTC,1.002252344594215,1.0252121212811252
2025-10-04,0.08338350379468001,0.08629703498854961,1709437.0021308633,1.0577154263278892,BTC,0.9422588875798633,0.9363385761950644
2025-10-05,0.08706988107704222,0.0977416764578047,1728928.3898236365,1.9952593568001906,BTC,0.9839160691469914,0.9470149206158108
2025-10-06,0.08957989432080876,0.09650059261615507,1858069.8902435675,2.4682320661927917,BTC,1.0122799802235258,1.017751758814681
2025-10-07,0.09117766716054806,0.10157120347994988,1839432.920166095,2.444423717324671,BTC,1.0303352980029898,1.0075434188728298
2025-10-08,0.09204931460478993,0.09815947167030659,1830853.8480877872,2.57799064726212,BTC,1.0401851785404586,1.0028442599539202
2025-10-09,0.09172099698094313,0.10156617611728477,1909286.009834954,2.3981147682111663,BTC,1.0364750897946018,1.0458052222863718
2025-10-10,0.09780737325643772,0.34186397860373585,1795044.9256100908,3.011510916019506,BTC,1.105252988032861,0.9832300387535774
2025-10-11,0.11465652169134843,0.13118655400478602,1395895.5140740913,4.30328423583709,BTC,1.2956534765999999,0.7645972425634638
2025-10-12,0.1100403204067753,0.12914403037433553,1508565.0600858182,4.0371139240411775,BTC,1.2434890017422748,0.8263116211346891
2025-10-13,0.10676395296270472,0.11769782507662359,1696442.2715351786,3.609862663529229,BTC,1.2064650557258711,0.9292207546381221
2025-10-14,0.1162602866420444,0.13367142470107524,1782640.8232139908,4.396761943226997,BTC,1.3137765070510035,0.9764357318782351
2025-10-15,0.10831709819079856,0.12013731593450587,1733722.2454024223,3.469331738733339,BTC,1.224016067955787,0.9496407394681755
2025-10-16,0.10241436312195307,0.11830128507902646,1709831.0285971817,2.741413403427246,BTC,1.1573133710609145,0.9365544029146193
2025-10-23,0.10288542136242186,0.11236840644105227,1600267.3190096903,2.7675162513911338,BTC,1.1626364720755036,0.8765412361761427
2025-10-24,0.0996522867356514,0.11017856151929624,1360811.4371800171,2.346343403300773,BTC,1.1261010700094292,0.7453800531817163
2025-10-25,0.09140872752063714,0.09492501964210145,1130729.2543293638,1.0976035298302504,BTC,1.032946350165027,0.6193532834150111
2025-10-26,0.09269317064417659,0.10229328395414886,1187033.6186194317,1.519731700670928,BTC,1.0474609471016827,0.650193816425127
2025-10-27,0.09709282209038407,0.10346305307102184,1361058.061511409,2.572682603186542,BTC,1.0971783430946667,0.7455151408597195
2025-10-28,0.09796834679353501,0.10963110911132422,1467531.735584018,2.5023241909713008,BTC,1.107072037833989,0.8038357506623216
2025-10-29,0.10036750669260934,0.1248255134248386,1465919.7416564263,2.6656477506100797,BTC,1.134183272487722,0.8029527862143105
2025-10-30,0.11190447347807747,0.1261346130720296,1399807.5911432388,3.886053347185248,BTC,1.2645544969458458,0.7667400700957595
2025-10-31,0.1069481465648323,0.11541583333312616,1419486.803100762,3.4069526370603684,BTC,1.2085464993057358,0.7775192946486263
2025-11-01,0.09273631429648957,0.09616218804016079,1231939.527577523,1.1638976268970869,BTC,1.0479484834606088,0.6747908824791268
2025-11-02,0.0949974624776825,0.09968484708277456,1341950.5606502856,1.644296910873632,BTC,1.0735001438359073,0.7350490692065094
2025-11-03,0.11775549491092349,0.13679872851433786,1452948.4833575455,4.485268334730466,BTC,1.330672814066398,0.7958478215318491
2025-11-04,0.14108525845695846,0.1662083942541793,1388228.15162138,6.237013069701006,BTC,1.5943062193082473,0.7603974696363573
2025-11-05,0.12464563781909678,0.13659801491310353,1225106.6225867888,4.974459309415983,BTC,1.4085335190795623,0.6710481809216403
2025-11-06,0.1178845181784911,0.13004426414664533,1539163.9681961215,4.390954127307296,BTC,1.3321308161296062,0.8430720738553281
2025-11-07,0.12106597048053067,0.13339941780627074,1489407.331969091,4.609022756392345,BTC,1.3680821922481936,0.8158180376650509
2025-11-08,0.10482324528735287,0.11153109314371906,1376988.5829573572,2.4123848399042496,BTC,1.1845344702734113,0.7542410323375279
2025-11-09,0.10884626752007502,0.11918007780627228,1127623.0344199091,3.173707945231851,BTC,1.2299958419021204,0.6176518615294767
2025-11-10,0.1111468034942115,0.12183722865926934,1185244.251245515,3.644430268867419,BTC,1.2559925962861165,0.6492136962469076
2025-11-11,0.11692655375194903,0.1256736151981535,1206133.0980403603,4.070348544222917,BTC,1.3213055275075634,0.6606554943604744
2025-11-12,0.11211551745108005,0.12650748676253892,1123340.4465671817,3.7338362306710975,BTC,1.266939357861759,0.6153060879166121
2025-11-13,0.12643695654413678,0.14718605176142838,1208204.2391249086,4.830586789836483,BTC,1.4287759640757973,0.6617899551752268
2025-11-14,0.15714132445196452,0.18087015037280496,1226546.5814076993,7.64854510646903,BTC,1.775744635719918,0.6718369136976772
2025-11-15,0.11683241672262426,0.12469641052433647,1179516.3590214036,3.3030236144599425,BTC,1.320241750519371,0.6460762618500636
2025-11-16,0.12301379721643356,0.14375644422889333,1101562.6775178106,3.819651867802274,BTC,1.390093225244474,0.6033773855198729
2025-11-17,0.12235723181166665,0.13217114232927113,1127720.1066232203,4.058367136196715,BTC,1.382673836999019,0.6177050325141479
2025-11-26,0.13280892148984072,0.142108796791755,1197137.4971827273,3.5872591782361907,BTC,1.5007811009218213,0.6557281831530093
2025-11-27,0.1208991817506577,0.1272244949443976,1246192.7599699707,2.8192977093202414,BTC,1.3661974290046395,0.6825980443153838
2025-11-28,0.12299528165573698,0.13320536143444303,1267752.11456485,2.9170342640887608,BTC,1.3898839937918375,0.69440711090274
2025-11-29,0.11501395501948068,0.1195511445576892,1096299.0626568182,1.6437253320234266,BTC,1.299692581636641,0.6004942575435641
2025-11-30,0.11436901029072674,0.12014596935207032,1175034.980932824,1.7605730807180864,BTC,1.2924045105553084,0.6436216015299573
2025-12-01,0.15202899158477548,0.17308701038520366,1223591.6747600918,5.2768474896125275,BTC,1.7179737234752486,0.6702183731607863
2025-12-02,0.1365908058502326,0.15069728303178798,1299149.2038456309,4.202650073805124,BTC,1.5435175414431161,0.7116047647719319
2025-12-03,0.13578108041342002,0.14901133446962606,1381906.7593211175,4.570650275002168,BTC,1.5343673983738728,0.7569349474968343
2025-12-04,0.12619005125227284,0.13539652393897583,1462689.9427461927,3.6811865723543606,BTC,1.4259858593780845,0.801183674331723
2025-12-05,0.124575850209554,0.14019339290217772,1506596.346646152,3.125537762132459,BTC,1.4077448979213947,0.825233264730367
2025-12-06,0.1168373060514846,0.12143924876209207,1199042.2175972415,1.6835607988183652,BTC,1.3202970014186892,0.6567714875852596
2025-12-07,0.12096154079778881,0.1357832931700145,1373270.5783861154,2.4047170370911077,BTC,1.366902105154073,0.752204507386808
2025-12-08,0.1269988462462634,0.13626504894028957,1565786.5560562299,3.5277711984848055,BTC,1.435125488161186,0.8576545100495188
2025-12-09,0.12485828256101643,0.13798048935833912,1550285.128789702,3.4319089279959707,BTC,1.4109364691698378,0.849163653517433
2025-12-10,0.12296123884583116,0.14092073325276155,1482380.5565459926,3.261144690103323,BTC,1.3894992997128872,0.8119691442067339
2025-12-11,0.1316891101690556,0.14389893217985525,1520351.059224144,3.976514287030417,BTC,1.4881268932979668,0.8327673639543778
2025-12-12,0.12010380148539662,0.1345927065272419,1397984.1498164209,2.6308222278836886,BTC,1.3572093907255898,0.7657412860203009
2025-12-13,0.11112716289817728,0.11428882303579299,1266447.1463999543,0.7005218053296898,BTC,1.255770651592881,0.6936923188209171
2025-12-14,0.11674935062600164,0.12463546860447702,1455993.587688191,1.7679725240098378,BTC,1.3193030784291222,0.7975157675572176
2025-12-15,0.1288483167781464,0.14517873116409294,1658871.268365787,3.453621663903639,BTC,1.4560250662153167,0.9086413594512879
2025-10-03,0.23974247251454345,0.25186517999590274,1384505.872862558,3.573875795993488,ETH,1.008046052196361,0.9885380823769497
2025-10-04,0.22956261069953307,0.23330218945376058,1249271.7607899765,2.0820555225521744,ETH,0.9652427499408411,0.891980839507493
2025-10-05,0.23423781457813525,0.24317033941424396,1342073.6424728772,3.0841699818263697,ETH,0.9849005968113081,0.9582414426280217
2025-10-06,0.23652555930833752,0.24373369870560246,1425991.802738447,4.0176211168852,ETH,0.9945198854568505,1.0181590629513002
2025-10-07,0.2368484654499955,0.2516312050201261,1456813.5403333637,4.195932269241354,ETH,0.9958776100932666,1.0401658033883117
2025-10-08,0.24373122119561763,0.2505362247114419,1442532.9118578471,4.200687476863491,ETH,1.024817558383761,1.0299694254855318
2025-10-09,0.24900284642158452,0.2599296489576678,1464448.648811487,4.267279463632526,ETH,1.0469831802777805,1.0456172757450874
2025-10-10,0.26436386319965144,0.6775060665881382,1441229.9007991152,5.684820648061995,ETH,1.1115717037815291,1.0290390747527816
2025-10-11,0.3355496480864856,0.3536567575956188,1201123.0160432935,9.553128572404844,ETH,1.4108868342005643,0.8576026048364233
2025-10-12,0.3087722552104872,0.33636513414893376,1257799.614374091,7.90032619054709,ETH,1.298295832307382,0.8980697324432825
2025-10-13,0.289602533250006,0.3056503152937557,1319074.3526278182,7.642069769243892,ETH,1.2176928321744263,0.9418199349081168
2025-10-14,0.3094778431515956,0.3360759440253506,1212081.5833697189,8.70412852460381,ETH,1.301262620507452,0.8654270289452682
2025-10-15,0.2921105224304521,0.30746113908516803,1182977.5304325933,6.965281353873795,ETH,1.2282381834665153,0.8446467164570456
2025-10-16,0.28394268981537235,0.29756293962723296,1239138.1110245946,5.468850384011837,ETH,1.1938948677566452,0.8847454070670091
2025-10-23,0.27905208901682976,0.2892153708052943,1262819.7001083638,4.161689288252486,ETH,1.1733313406680517,0.9016540768815372
2025-10-24,0.2719181035347417,0.28494887371316596,1082346.805556171,3.8798691616505314,ETH,1.1433350457845541,0.772796314268527
2025-10-25,0.25779116959744686,0.26181859864374296,965365.0594629091,1.9028138132907666,ETH,1.0839354749210102,0.6892712724302824
2025-10-26,0.25894024824879835,0.2710054606287827,1028400.485834101,2.7905963540627443,ETH,1.0887670101346454,0.7342786073417301
2025-10-27,0.263088731610299,0.2721910601040172,1102132.3939166972,4.789078869933477,ETH,1.1062101533178348,0.7869232370645821
2025-10-28,0.267985772257595,0.2832640766378002,1140581.8035282274,4.535698769999468,ETH,1.1268007580620667,0.8143761402200757
2025-10-29,0.27149222539134776,0.30538757476235473,1131761.4951205906,4.37617402121435,ETH,1.141544354395322,0.8080784343524717
2025-10-30,0.29843742686614966,0.31574021818754017,1063353.1511049396,6.274533174843847,ETH,1.2548409417184627,0.7592348327923016
2025-10-31,0.28783122960575847,0.2970921589823321,1111165.7802364866,5.017664997083341,ETH,1.210245025254372,0.7933730806983051
2025-11-01,0.26482634328136717,0.2694093695051817,1053805.5467688597,2.126674746223869,ETH,1.113516295474871,0.7524178371647077
2025-11-02,0.26840525668685866,0.273739963897029,1059212.7952086364,2.935495546721976,ETH,1.1285645657780792,0.7562786160233346
2025-11-03,0.3169214512152811,0.3429338261258011,1129944.6938804386,7.24730778780785,ETH,1.3325607865937301,0.8067812371002228
2025-11-04,0.36400035391691443,0.4090328088341804,1173656.6303043636,10.59276410097316,ETH,1.5305136212014534,0.8379915877794499
2025-11-05,0.34745033589031094,0.3642133549706901,1017475.471309266,8.336282052616513,ETH,1.4609256997934759,0.726478139954769
2025-11-06,0.3398254760563866,0.35694106393851005,1200066.3305589997,7.290774813876387,ETH,1.4288654237250717,0.8568481307220162
2025-11-07,0.3484436698430863,0.3670540221587988,1164831.6907478261,7.893333219368864,ETH,1.4651023747026206,0.8316905752685567
2025-11-08,0.3158720964861097,0.32483003333306304,1077805.0669272272,5.468042650055988,ETH,1.3281485609209067,0.7695535099706797
2025-11-09,0.3157368498336047,0.32852266197008856,812500.1721247376,5.524673562916625,ETH,1.3275798888258021,0.5801256446984124
2025-11-10,0.30997930408085295,0.3227526182266987,839471.3376444068,5.884592672608142,ETH,1.3033711151132124,0.5993830742007948
2025-11-11,0.3308363438355469,0.3418982284619254,692410.3438105825,7.3003458192536375,ETH,1.3910687865549982,0.49438143015838726
2025-11-12,0.32300489189578396,0.3441081776538134,651308.445629271,6.287183111681355,ETH,1.3581398519025676,0.4650346484605968
2025-11-13,0.33936726482135604,0.3746312407397765,865536.2852126852,8.176873503335605,ETH,1.4269387812670211,0.6179934635038957
2025-11-14,0.39828289771928527,0.4195970424283345,823978.3276075434,12.133702843422622,ETH,1.6746615586810436,0.5883210550846013
2025-11-15,0.3372988513167773,0.3446983136966214,783205.9472516667,4.778222334126887,ETH,1.4182417154291198,0.5592095493257933
2025-11-16,0.35403327675197266,0.38244340985436,762051.5409280645,6.344463035667876,ETH,1.4886050153433632,0.5441052896250238
2025-11-17,0.34195153215134805,0.3582531853827392,862908.3602398762,5.8870592306863365,ETH,1.4378048595738613,0.6161171233856122
2025-11-26,0.3642685031059514,0.3752259896466744,720541.6232002181,5.070552117189979,ETH,1.5316411090786461,0.5144671817089703
2025-11-27,0.34777540885870084,0.3533228217212826,641558.3774550571,3.7390369934471805,ETH,1.4622925352941873,0.45807309352254943
2025-11-28,0.3480362554028111,0.3587156495805048,691824.4127391204,4.005230152639694,ETH,1.463389317713512,0.4939630749970685
2025-11-29,0.3422078091046596,0.34908472243956146,640085.1642716513,2.508458014899831,ETH,1.4388824282180193,0.45702121836347526
2025-11-30,0.34190217238818926,0.3470911799835303,682104.4576425857,2.6078289742288567,ETH,1.437597316396936,0.48702302081582316
2025-12-01,0.39649945683198484,0.4194867464995211,769892.223002973,6.682517148464005,ETH,1.6671627182506743,0.549703541661927
2025-12-02,0.3796636173997999,0.3926136340842318,750724.6780463199,5.101772265356817,ETH,1.596373002531878,0.5360179022531553
2025-12-03,0.36024516622636593,0.37536394954203556,766604.3728210551,5.686444076624982,ETH,1.5147241697662925,0.5473560145205247
2025-12-04,0.3430739547158309,0.3565840140793881,824220.784530367,5.101695402301767,ETH,1.4425243138414168,0.5884941694832073
2025-12-05,0.35136034864954857,0.36864515460381214,829606.7680142203,4.804820600705607,ETH,1.4773661447619735,0.5923397651496483
2025-12-06,0.3410824866194959,0.34602677368496343,697386.7400835396,2.692909326824651,ETH,1.4341507806433569,0.4979345802932045
2025-12-07,0.3418976964401298,0.3677617775371982,719623.3295938065,3.3011842482696627,ETH,1.4375784963617382,0.5138115194842489
2025-12-08,0.3509966595789452,0.3644071792769145,814517.4104072222,5.411911480973989,ETH,1.4758369399948605,0.5815659541276109
2025-12-09,0.34537941432110464,0.3636370878240961,865385.079047842,5.438524788585484,ETH,1.4522180882870497,0.6178855022050904
2025-12-10,0.33128183168195674,0.3554574355039112,869261.8340249091,5.409888632231375,ETH,1.3929419309343183,0.620653507748434
2025-12-11,0.34834584123352574,0.3641146560932819,896021.5730927682,6.113753112014493,ETH,1.4646910343897215,0.6397599786284422
2025-12-12,0.3358781551910026,0.35507974808208054,873682.4339321376,4.1259355415476815,ETH,1.4122681092260265,0.6238098189211791
2025-12-13,0.3274028845136221,0.3326072389953048,758682.5203089545,1.8370900271422244,ETH,1.3766321075696626,0.5416998067393373
2025-12-14,0.3352694310673294,0.3473379373088052,817672.9715290561,3.113197717619803,ETH,1.4097086046738732,0.5838190267951551
2025-12-15,0.35643142623312807,0.37956650170905254,935136.4919803106,5.4981521184058195,ETH,1.4986885232495761,0.6676880558344099
2025-10-03,0.463591822431378,0.4821007963168868,438798.44217106234,5.46885268102529,SOL,0.9922623670291738,0.9868332198401811
2025-10-04,0.4541626435744203,0.46037528795590704,347356.0502528399,4.190076453409434,SOL,0.9720803472457442,0.7811843811613775
2025-10-05,0.4600842330239524,0.4712351598962628,395340.33262340276,5.830831664016765,SOL,0.9847547950670006,0.8890983556029798
2025-10-06,0.4593319250732825,0.4670045170743201,462386.57385253964,5.685796398551979,SOL,0.9831445706589179,1.0398816122229688
2025-10-07,0.47136319470516386,0.4880653754927352,461502.1539004587,5.934192196924947,SOL,1.0088960518232861,1.037892601084541
2025-10-08,0.4816090921372692,0.4910884585500708,480473.61675733945,5.854067120555053,SOL,1.0308261591858332,1.0805583628030742
2025-10-09,0.48470253984347655,0.4948606915979611,536692.0154451709,6.184025675203039,SOL,1.0374473107996467,1.206990405535222
2025-10-10,0.5044634632323763,1.5373292511344965,505177.851328005,7.137955990686212,SOL,1.0797431833060138,1.1361168083263449
2025-10-11,0.6664031563206834,0.7003263435081024,384388.3941986364,14.137658598517314,SOL,1.426355559549054,0.864468056995424
2025-10-12,0.6362454357188279,0.6704368020696867,397296.63936545455,11.534336198263158,SOL,1.3618065969041593,0.8934979803411675
2025-10-13,0.5856869333472509,0.6075456896159618,455694.4373783784,10.575295269067745,SOL,1.2535922220828757,1.024831370586441
2025-10-14,0.6070789136962433,0.6452561696281645,417933.28665814816,12.338298382810992,SOL,1.299379175237501,0.9399086489702413
2025-10-15,0.5784206147294638,0.5969339802907412,409891.7940347338,10.038137313186063,SOL,1.2380395437084837,0.9218237806224375
2025-10-16,0.5811978316834099,0.6132780569517061,411728.9950675926,8.194928398058414,SOL,1.2439838415479563,0.9259555432644822
2025-10-23,0.5656933386390806,0.5769098118035919,411459.66322522936,5.781820027880814,SOL,1.2107983446876642,0.9253498309745984
2025-10-24,0.5428087267197312,0.5605773889787261,375983.38774545456,4.656624974468906,SOL,1.1618165937315226,0.845565666321627
2025-10-25,0.5275872329740334,0.5329417358374735,314770.8048809091,3.1530515792915863,SOL,1.129236822728203,0.7079019819564846
2025-10-26,0.5263547453384325,0.5370956671835475,344017.3457507604,3.803299561892933,SOL,1.126598831634612,0.7736758209723748
2025-10-27,0.5304785144057098,0.54026991676215,389116.5662441769,6.189929131020156,SOL,1.1354252618212317,0.8751014521838236
2025-10-28,0.5417131437958483,0.564695627536472,413865.1350946194,6.547045185021715,SOL,1.159471630656835,0.9307596030293036
2025-10-29,0.5448047012605284,0.5889844497712436,399649.5633574979,5.989747440725546,SOL,1.1660887364367027,0.8987895751508915
2025-10-30,0.5921748111790938,0.6161050709690391,400653.1333299583,8.834772809394853,SOL,1.2674787418680116,0.9010465480388489
2025-10-31,0.5746465932267809,0.5847956761373432,408197.9445981481,6.233467233092732,SOL,1.2299617059894512,0.9180144077241201
2025-11-01,0.5512368014115032,0.5562374928806246,327435.3033376147,3.46507227299798,SOL,1.1798558708251004,0.7363837325476128
2025-11-02,0.5569554373419587,0.5635928609247918,349496.3817529795,4.14798049995477,SOL,1.1920959211235973,0.7859978673154251
2025-11-03,0.6392486994244011,0.710179650422086,418939.80368073395,9.175085216113319,SOL,1.3682347205446406,0.9421722496095414
2025-11-04,0.7486811713937018,0.7997300304121524,374093.51395727275,13.704072705654855,SOL,1.602461724585863,0.8413154455909984
2025-11-05,0.7026218688507623,0.7229780149256169,369726.9302777778,9.734222336416629,SOL,1.5038773442029776,0.8314952424680854
2025-11-06,0.6915042721991113,0.7082393366069094,355092.0730854545,8.76283047928983,SOL,1.4800814698249825,0.7985822649890737
